,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Player
0,1,1.0,2021-10-21,32-037,MIA,,MIL,W (+42),1,29:02,6,10,0.6,0,0,,9,11,0.818,1,3,4,6,1,0,1,3,21,20.2,27,Jimmy Butler
1,2,2.0,2021-10-23,32-039,MIA,@,IND,L (-11),1,40:17,7,22,0.318,1,3,0.333,4,5,0.8,3,3,6,6,3,0,4,4,19,10.6,-5,Jimmy Butler
2,3,3.0,2021-10-25,32-041,MIA,,ORL,W (+17),1,32:55,15,21,0.714,0,0,,6,6,1.0,0,3,3,2,5,0,1,2,36,32.8,8,Jimmy Butler
3,4,4.0,2021-10-27,32-043,MIA,@,BRK,W (+13),1,37:11,6,18,0.333,0,0,,5,6,0.833,4,10,14,7,4,1,3,3,17,17.6,12,Jimmy Butler
4,5,5.0,2021-10-29,32-045,MIA,,CHO,W (+15),1,36:27,12,19,0.632,1,3,0.333,7,7,1.0,5,5,10,5,1,1,4,3,32,28.5,-1,Jimmy Butler
5,6,6.0,2021-10-30,32-046,MIA,@,MEM,W (+26),1,30:03,8,12,0.667,1,2,0.5,10,11,0.909,0,5,5,7,3,0,1,0,27,29.8,22,Jimmy Butler
0,1,1.0,2021-10-20,22-031,TOR,,WAS,L (-15),1,18:30,3,8,0.375,0,0,,0,2,0.0,3,4,7,2,1,0,1,4,6,3.9,-6,Precious Achiuwa
1,2,2.0,2021-10-22,22-033,TOR,@,BOS,W (+32),1,24:50,6,13,0.462,1,2,0.5,2,2,1.0,3,12,15,0,1,0,0,0,15,15.0,16,Precious Achiuwa
2,3,3.0,2021-10-23,22-034,TOR,,DAL,L (-8),1,33:21,4,9,0.444,0,1,0.0,2,3,0.667,3,9,12,3,0,0,1,3,10,9.6,3,Precious Achiuwa
3,4,4.0,2021-10-25,22-036,TOR,,CHI,L (-3),1,28:39,4,12,0.333,1,2,0.5,2,4,0.5,2,9,11,2,0,0,2,2,11,6.1,-7,Precious Achiuwa
